연월,CCSI,연월_dt,총액_lag_1,CCSI_lag_1,총액_lag_2,CCSI_lag_2,총액_lag_3,CCSI_lag_3,총액_lag_12,CCSI_lag_12,총액_roll_mean_6,총액_roll_std_6,CCSI_roll_mean_6,CCSI_roll_std_6,총액_roll_max_6,총액_roll_min_6,총액_diff_1,CCSI_diff_1,총액_diff_12,CCSI_diff_12,총액_slope_3,CCSI_slope_3,month
202211,86.6,2022-11-01,526431307244.7,89.0,502660117631.9,91.6,510999539613.6,89.0,,,511864808402.1667,7933125941.20775,89.86666666666667,3.9164609875072682,526431307244.7,502660117631.9,-13664256858.0,-2.4000000000000057,,,5053466377.399994,-2.5,11
202212,90.1,2022-12-01,512767050386.7,86.6,526431307244.7,89.0,502660117631.9,91.6,,,514590841121.63336,9162982696.894,88.75,2.0588831924127526,526431307244.7,502660117631.9,11852603326.700012,3.5,,,-905826765.6499939,0.5499999999999972,12
202301,90.7,2023-01-01,524619653713.4,90.1,512767050386.7,86.6,526431307244.7,89.0,460430925553.1,104.9,510448054383.94995,15228648183.900272,89.5,1.7389652095426644,526431307244.7,485210657713.4,-39408996000.0,0.6000000000000085,24779732160.30005,-14.200000000000003,-13778196336.649994,2.0500000000000043,1
202302,90.2,2023-02-01,485210657713.4,90.7,524619653713.4,90.1,512767050386.7,86.6,398280110517.5,103.5,503263969833.3333,23066632845.903877,89.7,1.7389652095426666,526431307244.7,467895032309.9,-17315625403.5,-0.5,69614921792.40002,-13.299999999999997,-28362310701.75,0.050000000000004256,2
202303,92.0,2023-03-01,467895032309.9,90.2,485210657713.4,90.7,524619653713.4,90.1,469781200099.9,103.7,507632178375.8499,25302695912.60781,89.76666666666665,1.8315749142927347,528869368887.0,467895032309.9,60974336577.099976,1.7999999999999972,59088168787.099976,-11.700000000000003,21829355586.799988,0.6499999999999986,3
202304,95.2,2023-04-01,528869368887.0,92.0,467895032309.9,90.2,485210657713.4,90.7,504188853530.6,104.3,505418099810.2,23869325251.035767,90.8,2.8035691537751974,528869368887.0,467895032309.9,-15722533036.200012,3.200000000000003,8957982320.200012,-9.099999999999994,22625901770.44998,2.5,4
202305,98.1,2023-05-01,513146835850.8,95.2,528869368887.0,92.0,467895032309.9,90.2,536356960702.5,103.1,510879905584.89996,29070003775.973637,92.71666666666665,3.252947381478283,545537885034.9,467895032309.9,32391049184.100037,2.8999999999999915,9180924332.400024,-5.0,8334258073.950012,3.049999999999997,5
202306,100.8,2023-06-01,545537885034.9,98.1,513146835850.8,95.2,528869368887.0,92.0,508263457396.6,96.8,510626261892.01666,28932458056.337337,94.5,4.296975680638619,545537885034.9,467895032309.9,-22440093478.80005,2.700000000000003,14834334159.5,4.0,4975477852.649994,2.799999999999997,6
202307,103.4,2023-07-01,523097791556.1,100.8,545537885034.9,98.1,513146835850.8,95.2,510067378139.5,86.2,516381368738.8333,26168068629.3995,96.61666666666667,5.10310363079826,545537885034.9,467895032309.9,-3356492761.799988,2.6000000000000085,9673920654.799988,17.200000000000003,-12898293120.300018,2.6500000000000057,7
202308,103.3,2023-08-01,519741298794.3,103.4,523097791556.1,100.8,545537885034.9,98.1,510999539613.6,89.0,526063286966.8,10979402191.489706,98.8,4.584757354539025,545537885034.9,513146835850.8,6245242883.400024,-0.10000000000000853,14987002064.100037,14.299999999999997,1444375060.8000183,1.25,8
